now, 1002.972841ms, 2023-10-25 16:17:02
type, 1004.906178ms, 2023-10-25 16:17:05
type, 1001.575708ms, 2023-10-25 16:17:08
type, 1002.090931ms, 2023-10-25 16:17:11
type, 1003.049135ms, 2023-10-25 16:17:14
type, 919.032812ms, 2023-10-25 16:17:17
type, 1003.664732ms, 2023-10-25 16:17:20
type, 1002.866507ms, 2023-10-25 16:17:23
sum, 985.060930ms, 2023-10-25 16:17:26
pow, 1003.242254ms, 2023-10-25 16:17:29
